lens	local	absolute	leading_face
L0	0	0	Name
L0	1	1	Name
L0	2	2	Name
L0	3	3	Name
L0	4	4	Name
L0	5	5	Name
L0'	0	0	Power
L0'	1	1	Power
L0'	2	2	Power
L0'	3	3	Power
L0'	4	4	Power
L0'	5	5	Power
L1	0	1	Name
L1	1	2	Name
L1	2	3	Name
L1	3	4	Name
L1	4	5	Name
L1	5	0	Name
L1'	0	1	Power
L1'	1	2	Power
L1'	2	3	Power
L1'	3	4	Power
L1'	4	5	Power
L1'	5	0	Power
L2	0	2	Name
L2	1	3	Name
L2	2	4	Name
L2	3	5	Name
L2	4	0	Name
L2	5	1	Name
L2'	0	2	Power
L2'	1	3	Power
L2'	2	4	Power
L2'	3	5	Power
L2'	4	0	Power
L2'	5	1	Power
L3	0	3	Name
L3	1	4	Name
L3	2	5	Name
L3	3	0	Name
L3	4	1	Name
L3	5	2	Name
L3'	0	3	Power
L3'	1	4	Power
L3'	2	5	Power
L3'	3	0	Power
L3'	4	1	Power
L3'	5	2	Power
L4	0	4	Name
L4	1	5	Name
L4	2	0	Name
L4	3	1	Name
L4	4	2	Name
L4	5	3	Name
L4'	0	4	Power
L4'	1	5	Power
L4'	2	0	Power
L4'	3	1	Power
L4'	4	2	Power
L4'	5	3	Power
L5	0	5	Name
L5	1	0	Name
L5	2	1	Name
L5	3	2	Name
L5	4	3	Name
L5	5	4	Name
L5'	0	5	Power
L5'	1	0	Power
L5'	2	1	Power
L5'	3	2	Power
L5'	4	3	Power
L5'	5	4	Power
